"","year","month","date","count","demonth","wkday","deseason"
"303",2013,10,2013-10-30,558,-49.3225806451613,"Wed",-68.4721087552661
"304",2013,10,2013-10-31,615,7.67741935483866,"Thurs",-19.1045173059684
"305",2013,11,2013-11-01,710,109.333333333333,"Fri",39.9015060000975
"306",2013,11,2013-11-02,551,-49.6666666666666,"Sat",-8.76051488789965
"307",2013,11,2013-11-03,415,-185.666666666667,"Sun",-82.6897333993024
"308",2013,11,2013-11-04,658,57.3333333333334,"Mon",53.9603697403142
"309",2013,11,2013-11-05,510,-90.6666666666666,"Tues",-115.33692199805
"310",2013,11,2013-11-06,635,34.3333333333334,"Wed",15.1838052232286
"311",2013,11,2013-11-07,646,45.3333333333334,"Thurs",18.5513966725263
"312",2013,11,2013-11-08,682,81.3333333333334,"Fri",11.9015060000975
"313",2013,11,2013-11-09,571,-29.6666666666666,"Sat",11.2394851121004
"314",2013,11,2013-11-10,474,-126.666666666667,"Sun",-23.6897333993024
"315",2013,11,2013-11-11,456,-144.666666666667,"Mon",-148.039630259686
"316",2013,11,2013-11-12,647,46.3333333333334,"Tues",21.6630780019496
"317",2013,11,2013-11-13,592,-8.66666666666663,"Wed",-27.8161947767714
"318",2013,11,2013-11-14,620,19.3333333333334,"Thurs",-7.44860332747365
"319",2013,11,2013-11-15,617,16.3333333333334,"Fri",-53.0984939999025
"320",2013,11,2013-11-16,612,11.3333333333334,"Sat",52.2394851121004
"321",2013,11,2013-11-17,532,-68.6666666666666,"Sun",34.3102666006976
"322",2013,11,2013-11-18,611,10.3333333333334,"Mon",6.9603697403142
"323",2013,11,2013-11-19,600,-0.666666666666629,"Tues",-25.3369219980504
"324",2013,11,2013-11-20,607,6.33333333333337,"Wed",-12.8161947767714
"325",2013,11,2013-11-21,628,27.3333333333334,"Thurs",0.551396672526348
"326",2013,11,2013-11-22,702,101.333333333333,"Fri",31.9015060000975
"327",2013,11,2013-11-23,535,-65.6666666666666,"Sat",-24.7605148878996
"328",2013,11,2013-11-24,494,-106.666666666667,"Sun",-3.68973339930238
"329",2013,11,2013-11-25,710,109.333333333333,"Mon",105.960369740314
"330",2013,11,2013-11-26,867,266.333333333333,"Tues",241.66307800195
"331",2013,11,2013-11-27,742,141.333333333333,"Wed",122.183805223229
"332",2013,11,2013-11-28,429,-171.666666666667,"Thurs",-198.448603327474
"333",2013,11,2013-11-29,436,-164.666666666667,"Fri",-234.098493999903
"334",2013,11,2013-11-30,479,-121.666666666667,"Sat",-80.7605148878996
"335",2013,12,2013-12-01,420,-165.540322580645,"Sun",-62.5633893132809
"336",2013,12,2013-12-02,549,-36.5403225806451,"Mon",-39.9132861736643
"337",2013,12,2013-12-03,553,-32.5403225806451,"Tues",-57.2105779120289
"338",2013,12,2013-12-04,520,-65.5403225806451,"Wed",-84.6898506907499
"339",2013,12,2013-12-05,573,-12.5403225806451,"Thurs",-39.3222592414521
"340",2013,12,2013-12-06,759,173.459677419355,"Fri",104.027850086119
"341",2013,12,2013-12-07,567,-18.5403225806451,"Sat",22.3658291981219
"342",2013,12,2013-12-08,456,-129.540322580645,"Sun",-26.5633893132809
"343",2013,12,2013-12-09,639,53.4596774193549,"Mon",50.0867138263357
"344",2013,12,2013-12-10,539,-46.5403225806451,"Tues",-71.2105779120289
"345",2013,12,2013-12-11,605,19.4596774193549,"Wed",0.310149309250122
"346",2013,12,2013-12-12,648,62.4596774193549,"Thurs",35.6777407585479
"347",2013,12,2013-12-13,695,109.459677419355,"Fri",40.027850086119
"348",2013,12,2013-12-14,690,104.459677419355,"Sat",145.365829198122
"349",2013,12,2013-12-15,450,-135.540322580645,"Sun",-32.5633893132809
"350",2013,12,2013-12-16,640,54.4596774193549,"Mon",51.0867138263357
"351",2013,12,2013-12-17,703,117.459677419355,"Tues",92.7894220879711
"352",2013,12,2013-12-18,701,115.459677419355,"Wed",96.3101493092501
"353",2013,12,2013-12-19,607,21.4596774193549,"Thurs",-5.32225924145215
"354",2013,12,2013-12-20,674,88.4596774193549,"Fri",19.027850086119
"355",2013,12,2013-12-21,594,8.45967741935488,"Sat",49.3658291981219
